Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return_Pct,MA_20,MA_50,Ticker
2008-10-07,167.018997,171.625,158.268997,162.725006,55.113125,18535736.0,-1.2776650488439012,191.7667,202.35017976000003,INFY
2008-10-08,162.5,162.5,149.031006,156.781006,53.099945,22855192.0,-3.652788312080335,188.6717003,201.60918,INFY
2008-10-10,150.0,160.0,130.0,153.149994,51.870174,37255704.0,-2.315976974914935,185.3307503,200.82355988,INFY
2008-10-13,156.25,170.0,152.5,164.819,55.822338,19877088.0,7.61933167297415,182.6301506,200.26819976000002,INFY
2008-10-14,173.125,176.438004,168.75,174.744003,59.183823,15414536.0,6.021759020501283,181.09235075,199.75795988000002,INFY
2008-10-15,172.5,172.5,163.625,166.925003,56.535618,12564520.0,-4.474545544203878,179.57515105,199.13783994000002,INFY
2008-10-16,162.5,162.5,150.399994,157.875,56.877869,13400072.0,-5.421598225162228,177.67890089999997,198.19671994,INFY
2008-10-17,159.380997,163.625,148.781006,150.343994,54.164665,12160624.0,-4.770233412509894,175.3273506,197.05647976,INFY
2008-10-20,155.0,163.869003,152.625,161.819,58.298771,11699384.0,7.632500437629708,173.88455045,196.09647976,INFY
2008-10-21,165.0,174.25,162.875,168.449997,60.687748,18240528.0,4.097786415686677,172.15110015,195.21709958000002,INFY
2008-10-22,165.25,166.162994,160.319,162.444,58.523937,15020952.0,-3.565447970889546,170.08639979999998,194.15059964,INFY
2008-10-23,159.875,169.800003,154.455994,160.406006,57.7897,20359160.0,-1.2545825022777013,168.45699995,193.15971982,INFY
2008-10-24,156.162994,162.5,150.0,155.761993,56.116604,18683728.0,-2.8951615440135137,166.7181999,192.09895962,INFY
2008-10-27,153.75,161.25,145.0,156.475006,56.373486,20009112.0,0.4577580103254153,165.12415004999997,191.2186996,INFY
2008-10-29,165.669006,168.75,160.0,163.044006,58.740101,24898056.0,4.198114553834875,164.23319999999998,190.41469966,INFY
2008-10-31,166.869003,179.988007,166.869003,173.619003,62.549961,31084944.0,6.485977166189105,164.20600045,189.65331964,INFY
2008-11-03,175.136993,180.875,168.811996,172.324997,62.083775,18262272.0,-0.7453135760720819,164.08445045,188.83893946,INFY
2008-11-04,168.75,172.244003,160.625,166.488007,59.980888,22243704.0,-3.3871986662503684,163.3507011,187.93681972,INFY
2008-11-05,168.625,174.375,162.886993,165.25,59.53487,17302080.0,-0.7436013093723992,162.91380075,186.99355984,INFY
2008-11-06,161.875,164.75,153.755997,155.712006,56.098595,13453256.0,-5.7718571860816965,162.45785135,185.95417996,INFY
2008-11-07,154.375,161.25,150.268997,157.850006,56.868866,10109256.0,1.3730476248568824,162.21410135000002,184.86994016,INFY
2008-11-10,160.625,169.363007,154.625,167.311996,60.277737,10322104.0,5.994291821566344,162.74065085,183.95006008000001,INFY
2008-11-11,167.311996,168.550003,155.787994,157.087006,56.593975,9235216.0,-6.111331072758219,162.93750145,182.8468002,INFY
2008-11-12,151.875,163.356003,151.875,157.431,56.717915,13394360.0,0.21898310290540124,162.56810145000003,181.72492032000002,INFY
2008-11-14,160.125,161.837006,148.5,151.649994,54.635181,16017160.0,-3.6720887245841105,161.413401,180.50942014,INFY
2008-11-17,151.875,155.5,146.406006,154.050003,55.499828,18043056.0,1.5825974909039697,160.769651,179.21768034000002,INFY
2008-11-18,152.5,152.5,146.25,147.561996,53.162392,15308640.0,-4.211624065985909,160.2540008,177.86066038,INFY
2008-11-19,147.75,150.0,140.794006,146.587006,52.811115,22541064.0,-0.6607324558011496,160.0661514,176.35428038,INFY
2008-11-20,144.811996,144.811996,137.636993,140.231003,50.521229,11597904.0,-4.3359934645230584,158.98675154999998,174.68640044,INFY
2008-11-21,140.0,150.0,136.25,148.080994,53.349365,12197704.0,5.597899773989368,157.9683014,173.36726044,INFY
2008-11-24,141.875,152.475006,141.875,149.524994,53.869591,14039264.0,0.9751420226149943,157.32235110000002,171.98264038000002,INFY
2008-11-25,148.130997,154.613007,146.949997,147.744003,53.227966,9909928.0,-1.1910991950951022,156.68925095,170.56390044,INFY
